emotion,sentence
Enjoyment,dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣
Sadness,ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧.. ốm cũng cam lòng chứ vã lắm rồi 🥵🥵
Sadness,giận ngược lại rồi giận luôn chứ có huề đéo đâu :(((
Enjoyment,per tao được làm fan cứng giống mày rồi 🤣
Surprise,xem cái này mới biết vốn tiếng anh của mình cũng khá !
Disgust,thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa
Enjoyment,ôi bé xinh gái vãi :))
Enjoyment,cười sái mẹ quai hàm
Sadness,rồi khi mày có 1 ít tiền :)) mày mới phát hiện ra còn đéo cả có người đi cùng cơ
Sadness,tự dưng cay mẹ mắt
Fear,tao sợ thật sự :(((
Enjoyment,per thịt nướng lò xô ne ăn z mà không chết 😎😎😎😎
Enjoyment,tốt quá
Enjoyment,ông nào viết vui tính thế =)) cưng thật
Surprise,không hiểu sao nhìu người lại thả haha nhỉ ??
Disgust,diễn viên già vãi -.-
Enjoyment,ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ 😂😂😂
Enjoyment,cưng quá đi
Surprise,nhìn mẫu này lạ mắt mà đẹp quá
Sadness,tao cay mẹ khoé mắt
Disgust,thấy mệt thêm chứ chẳng khỏe gì cả .
Enjoyment,":)) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !"
Enjoyment,"cảm ơn nói chuyện nhật ! 1 nền khoa học , giáo dục , trí tuệ văn minh !! 😘"
Disgust,tao mệt chúng mày quá
Enjoyment,hahaha lúc trước ca làm có 4 chị em vui biết bao :))
Disgust,đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄
Other,các bạn đang bảo con này ah 😂😂😂
Enjoyment,má chủ dễ thương vậy tao cũng muốn xin
Enjoyment,"kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu 😊"
Sadness,"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng"
Anger,địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được
Enjoyment,nhìn thương quá ... lao động nghiêm túc
Sadness,đm thực tế như này còn hay . tiếc là đéo ở gần mình =))
Other,per mấy trụ kia em không tag được
Anger,nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác
Surprise,per ơ ơ ơ đây là đâu vậy
Anger,gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ...!!!
Disgust,"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó ."
Disgust,k phải là trời không cho mày yêu . vì m quá ngulon
Fear,"per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó :(("
Sadness,hết tiền rồi này
Enjoyment,"đẹp , dẽ thương mà"
Anger,tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ
Enjoyment,phim xem hay ... nhẹ nhàng tình cảm ... và cười vkl
Sadness,thế làm sao dỗ bạn gái đang giận :(
Anger,t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :)
Fear,loài này bé như ngón tay phàm ăn lắm sợ luôn
Disgust,"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ...."
Disgust,dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười
Sadness,chẳng đủ dịu dàng để níu bước chân anh
Other,1 cái xe cup này ngày xưa bằng mấy cái nhà liền
Enjoyment,mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó
Sadness,em chưa có người yêu . có ai yêu em không . em cô đơn quá
Enjoyment,nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊
Enjoyment,per =)))))) hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :)
Other,bả đòi cái gì vậy ?
Sadness,"cái thứ ba , trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa"
Surprise,per biết không :)))
Sadness,dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .
Disgust,mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư
Disgust,cô tiên béo quá .. 😅😅 giọng còn the thé nữa .. 😅😅
Disgust,lên án nhiều rồi mà vẫn thế .
Disgust,thằng này ngu vãi
Surprise,cây tre có tận trăm đốt luôn hả ???
Sadness,nói tiếng tuy hoà phú yên làm tao nhớ đến nyc . giọng nó sao ngọt không thể tả . buồn
Disgust,"per mợ mệt , trưa nào cũng nhìn mày nhai chóp chép .."
Fear,"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆"
Enjoyment,có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ?? 😀
Disgust,tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣
Sadness,và khi quay lại nói chuyện với nhau .... biết nói gì giờ huhu
Disgust,thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu
Disgust,cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz
Disgust,tao thấy giống khùng với lại vô duyên chứ hay gì
Enjoyment,cần gì những thứ xa hoa lộng lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊😊😊
Fear,t gặp ngỗng chạy bỏ dép
Disgust,"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta"
Surprise,sao nó trèo lên được hay vậy @@
Enjoyment,"khuôn mặt ngây thơ vô số tội , trái tim nhỏ bé của tao sao chịu được ❤❤❤"
Sadness,cuộc sống mà đành chịu thôi =(((
Sadness,"cấp 3 , đáng tiếc nhất trong thời học sinh ^^"
Other,"per mình đang nói phần lớn thôi , chứ tất nhiên cũng có ngoại lệ mà"
Enjoyment,"thích chị này nhất phim í , bé bé xinh xinh lại diễn rất đạt :3 . hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa < 3"
Disgust,dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ( ý kiến cá nhân ) 😔
Other,t thấy chả có gì thú vị .
Surprise,vậy mà củng chẳng hút được khách !
Enjoyment,khi nào lên chùa ba vàng giải được vong thì kết hôn :))
Disgust,thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣
Enjoyment,chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon
Disgust,cận cảnh cái bụng nước lèo của boss =))) xài hao vãi
Other,bản chất tham lam của con người thể hiện ngay từ những việc nhỏ ..
Sadness,em đi bộ chết mẹ đây này
Enjoyment,"thật tốt vì chú chó ấy đã tìm được người yêu thương nó , kiên trì để nó tin tưởng thật sự :"">"
Disgust,"phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận , vui không ra vui ."
Disgust,nhìn mặt nó khó ưa thật chứ
Other,lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-)
Other,giờ lên phường người ta có phát chú rể không nhỉ các bạn ?
Disgust,một cái ngu thật sứng đáng
Enjoyment,năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂...# mun 😘
Other,hãy dùng một đời để minh chứng nhé !💕😍
Disgust,con mụ đen sai còn già mồm ...
Enjoyment,chỉ cần yên bình như thế này thôi . ❤️❤️❤️
Sadness,năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc
Fear,chỉ sợ lúc nó dí
Enjoyment,hên là chay ra kip
Anger,immm
Sadness,tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁
Enjoyment,đa ́ người yêuc quá ́
Disgust,"5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công an phường là 1 , ai lại đi đá gà nhà ..."
Fear,kinh dị v
Enjoyment,thật may em đã gặp được người tài xế tốt 🌸🌸
Surprise,bắn không trượt phát nào luôn à
Surprise,tại sao mày nằm viện mà vẫn xinh thế ??
Surprise,đẹp trai mà bị đá à
Sadness,cho con được thay ông bán vé đi 😔
Disgust,lớp xuất hiện thứ âm binh
Enjoyment,đọc bình luận cười ẻ
Enjoyment,per cách này coi bộ hay nha 😂
Enjoyment,"mặt đúng kiểu , em hiểu cảm giác phê của anh không kkk"
Disgust,per thanh niên suốt ngày hát karaoke max volum
Disgust,lỡ câu chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách
Anger,bố mày ngứa mắt lắm rồi đấy
Anger,thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện thoại vãi :)
Anger,cả đám súc vật này
Disgust,bố mấy thằng bệnh
Sadness,thật khó để có cả 2 khi chúng ta còn trẻ :)
Disgust,nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì
Enjoyment,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào
Disgust,còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn
Disgust,mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái
Enjoyment,cô giáo có tâm vời nghề ghêeeee
Sadness,tiếc quá đẹp trai mờ không có chim
Enjoyment,crush ở nhà chơi gane rồi haha
Sadness,nhìn stt đồng cảm khủng khiếp .
Enjoyment,cài lò xô huyền thoại
Disgust,quên đào tạo đạo đức thôi mà báo làm căng vãi 😂
Disgust,đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức
Enjoyment,"cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng , cố gắng lên em nhé 👍"
Fear,hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra
Anger,trốn cũng đéo tha
Enjoyment,"con gấu trúc , cho nó ăn trúc đi =))) tướng ngồi nhìn cưng vãi"
Sadness,rồi lại im thôi . 200k hay 5tr thì cũng vậy
Enjoyment,"cái lò huyền thoại nè per , lúc mình ở chung đó"
Fear,hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ
Fear,tí nữa vợ nó vắt chân lên cổ bò thì hú hồn
Enjoyment,tuyệt vời
Surprise,trẻ con bao giờ ga lăng sớm thế nhỉ ?! hồi mình bằng bọn này đuổi đánh nhau hỡi chết :)))))
Other,tính đi chạy xe mà mưa cho nên ta ở nhà :)
Enjoyment,nhìn nó cưng quá
Disgust,chủ tịch giả làm nhện và cái kết . đừng bao giờ xem thường người khác .
Disgust,"này thì cắt đức quan hệ , toàn thể hiện , dume nó"
Disgust,con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình
Enjoyment,hạnh phúc to nè
Disgust,"độ "" thâm "" của bác phải gọi là "" bố "" của tàu"
Enjoyment,ông thần nhây vãi đái 😂😂
Surprise,tóm lại vẩn ế à
Sadness,chả vị nước mắt à 😔
Anger,con lợn kia sao đập vào đầu vợ bé của tao =))
Other,tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt
Fear,cứ sợ rớt điện thoại :)))) sợ nhất là lỡ khúc nào khó là té không thể tả nổi
Enjoyment,hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem
Enjoyment,hahaa coi cái mặt con nhỏ thấy thương
Enjoyment,"per khiếp nhớ ngày xưa quá anh em ơi , đi làm cười từ sáng tới tối luôn 😩"
Other,per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ
Enjoyment,"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình , lúc đéo nào cũng cười , cuộc sống tràn ngập niềm vui < 3"
Enjoyment,không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤
Enjoyment,per anh tặng vợ cái bát nha kaka
Enjoyment,"tiêu đề bộ phim cứ ngỡ là thể loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này"
Anger,như lol
Surprise,bất ngờ chưa =)))
Anger,"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc"
Anger,"ay , đau thế , thằng chó !"
Sadness,"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra ."
Anger,"đm cho tù mọt gông đi , cái thứ không não"
Anger,con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn
Sadness,a per ..... nhìn những hình ảnh này ... sao em nhớ về anh quá .... 15 năm ròng rã .. giờ anh lưu lạc nơi đâu . 😭😭😭😭
Disgust,"kiến phải loại kiến lửa , kiến vàng , còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :))"
Enjoyment,per có nên áp dụng với anh hàng xóm không nhể 😆😆😆
Enjoyment,đáng yêuc quá
Other,ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy
Disgust,làm như chỉ có chúng mày biết yêu nhau ý .
Other,nói chung là không nên uống chẳng bổ béo gì đâu
Enjoyment,không nổi thì mình chìm haha
Other,nóng tính quá hỏng viẹc - trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được
Other,anh cũng bướng làm !
Anger,"mỗi lần như thế tao chửi , mà bọn nó xem đó là trò đùa mày ạ , càng chửi càng cười"
Sadness,nhìn ma tiếc từng hạt trân châu
Enjoyment,thật cảm động
Surprise,"trời ơi , tin được không ????"
Enjoyment,per nhìn mặt hài vler :)))
Enjoyment,"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)"
Enjoyment,một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu
Disgust,người ngoài hành tinh đi học tiếng anh rồi à vãi
Sadness,đó là một câu chuyện buồn 😀
Disgust,lỗi đạo cụ
Disgust,per dạo này bị xàm à 😂😂😂
Sadness,như chết đi sống lại 🙂
Sadness,"bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khóe mắt :))"
Enjoyment,điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .
Anger,thả tao ra để tao cắn chết mẹ nó =))
Enjoyment,per tao cứ thấy giống giống mày :)))))
Disgust,vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau
Disgust,"giỏi thì tự đi mà thiết kế các kiểu . ở đó chỉ giỏi cào phím chê bai thôi . ông đã làm được gì , am hiểu gì mà chê này chê nọ"
Enjoyment,ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..
Enjoyment,cưng hết sức nà
Disgust,"học kiểu ăn nói láp xược , tại sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo"
Surprise,cái nệm này độ đàn hồi đỉnh ghê
Sadness,"em lấy đi niềm tin chả lại cho anh những gì , cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất .. anh chân thành nên anh tổn thương"
Anger,con mèo khốn nạn dám bóp vếu vợ tao à 😡
Surprise,"giỏi quá ta , cố gắng phát huy nha"
Other,"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa"
Other,ăn cả thế giới đã
Anger,"mấy cái thằng này xử bắn hết đi , to xác không lo làm ăn suốt ngày trộm cắp"
Disgust,"đưa lên để nhận đồng cảm à ?? họ sai họ chịu phạt , còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi ."
Sadness,chú này tội lắm á :(
Anger,gọi phường cẩu đi thôi
Disgust,link phim đéo có .. mà zo toàn gặp bình luận xàm
Sadness,chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi
Enjoyment,hihi ảo tưởng
Enjoyment,hahah tao chưa nghe hoàn chỉnh bài này lần nào
Enjoyment,mình không quan tâm giá trị học bổng bao nhiêu . mà tớ q . tâm em đó sẽ dành những gì cho đất nước sau khi học xong thôi . hee . chúc mừng em .
Other,thế nếu sóc lên xong gõ thì n có trào lên không nhỉ
Other,2 tên sủa giống nhau đêm đêm thì rủ nhau hú ??
Other,dân dùng bằng giả có được khiển trách không nhỉ
Disgust,vì mày là đống vỏ năm xưa mẹ mày đổ vào đầu bố mày nên ngày nào nhìn mặt mày hắn cũng cay cú như thế :))
Fear,người ta chỉ muốn dụ mày rồi xin một trái thận . 😪
Sadness,per huhu trời ơiii
Fear,lớp 5 mà viết kiểu này cô đánh gãy tay .
Enjoyment,con gái chả thế :)))) con trai đi dume mày có nhận hàng không
Disgust,"xoá mẹ nó đi , pr cho nó làm gì"
Enjoyment,t thích nhìn mắt của crush hơn là nhìn nó cười
Enjoyment,hành động đẹp
Disgust,"đập chết mẹ nó đi , nó làm người ta nhồi máu cơ tim có khác nào giết người gián tiếp mà ở mỹ gọi là giết người cấp độ 2 đấy"
Enjoyment,"đây là tao khi bảo "" tao biết đường mà , tin tao ."" 🙂"
Sadness,t nhớ tao đang xem xxx thì chưa cắm tai nghe 😭😭😭
Enjoyment,chuẩn . hài lòng với những thứ mình đang có . đừng mơ mộng những thứ viển vông
Enjoyment,per quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho rồi . nóng quá rồi :))))
Disgust,"ai đời cho kiến đen đốt tr .... nta cho kiến vàng đốt chứ , ăn kì cục"
Other,may quá tao đang nhà đắp chăn xem cảnh này chứ đông vậy đi chắc chớt
Disgust,mặt mày nhìn chán thậc
Disgust,cả 2 đứa đều trẻ con . yêu đương kiểu này thì lsao mà tính chuyện lâu dài được
Fear,per ê tao với mày mà đi cái cầu này chắc rớt ngay bước đầu quá 😢😢 đã mặp rồi chân lùn nữa đi qua bằng niềm tin
Sadness,đau lòng quá
Disgust,chơi mất dậy . gặp tao là tiễn theo điện thoại luôn
Enjoyment,vụ này chắc xử nhanh hơn vụ trong thang máy .... 😂😂😂
Sadness,lúc rài không gặp được mặt cờ rút nữa 😪
Disgust,dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à :)) tao thấy đéo đến mức buồn quá
Enjoyment,giống tao hồi bé ... 😅
Disgust,có ai không bị giật mình như tao không . nhạt vãi =)))
Sadness,năm nay không được ăn dồi :((
Sadness,ổng bị bắt rồi :( rồi lấy gì coi
Enjoyment,"per thể loại mới nè , có vẻ phê"
Enjoyment,con nào cũng là con nhé . con trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi :))
Disgust,"cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình . lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt , ai ngờ mới bươ ́ c lại gần là nó di ́ rượt mình . cái kết là bầm tím phần đùi . đến giơ ̀ thấy nó là auto né ."
Enjoyment,per nhện kìa haha
Sadness,per đi tong một năm học ... nhưng vẫn tốt nghiệp ... :(
Sadness,càng thân thiết khi quay lưng càng đau lòng .
Enjoyment,lâu rồi chưa nghe ... nghe lại vẫn hay và ngấm như ngày nào :))
Other,tôi thấy tương lai của tôi trong bức ảnh này :d
Enjoyment,"per đấu nhau to rồi , phen này hay"
Other,có thể bán lại cho tớ không ??????
Disgust,phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !
Sadness,xem đi xem lại bao nhiêu lần cũng không chán ... vẫn cảm giác hồi hộp :)
Enjoyment,per phải nói là hiền quá hiền luônnn 🤣
Anger,phạt thế quá nhẹ ...
Disgust,có bồ mà cũng sân si
Fear,trên đời sợ nhất mấy con trùn trùn như ri ! nhất là giun đất với rắn !!! đã từng bỏ tiết học sinh học mổ giun đất 😞😞
Enjoyment,sao tao thấy đa phần mấy đứa con trai cắt tóc xong nhìn ngáo đéo chịu được vậy =))).. cười tét cả hàm chứ đùa
Other,đơn giản thôi : nó giống như con chó vậy . khi ta đuổi thì nó chạy . khi ta chạy thì nó đuổi
Other,ướp đông lạnh luôn à
Fear,chờ tý tao đi thay bỉm xíu tao quay lại .
Other,có hiệu quả không mới quan trọng
Disgust,sáng sớm đã đậm chất ngôn tình . tránh ra chỗ bà gym nào .
Enjoyment,anh chờ ... đáng yêu ghê
Disgust,cười như cục cức trôi sông lạc chợ 😏😏👌
Sadness,tao buồn mấy năm nay rồi
Enjoyment,phải đối xử tốt với chính bản thân mình :)
Sadness,"chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ"
Anger,"móa , thiệt chứ tụi này nuôi làm gì vậy nhỉ ?"
Enjoyment,tao đang đi phân khối lớn đây . ai cũng kêu nhìn cá tính vãi 😁
Other,động lực để phụ nữ chiến đấu chính là gia đình và bản thân họ :)
Sadness,mink chỉ lo là nhà nước không đủ gạo nuôi mấy anh
Surprise,sản phẩm khá là mới lạ trong việt nam
Enjoyment,"chuẩn rồi . nhiều khi mệt muốn xỉu , xong đồng nghiệp đùa nhau đôi ba câu hay kể cho nhau vài câu chuyện thế là lại vui trở lại 😂😂😂 đồng nghiệp quan trọng thật sự"
Other,ai trèo lên đưa cho ảnh cái áo mưa đi kẻo ướt ảnh đó
