emotion,sentence
Negative,cho tao hỏi mấy con súc vật tụi bây cười cái gì dzậy ? chắc tụi mày phải bị gậy vụt vào mõm thì mới hết dám ngẩng mặt nhìn đời phải không ?
Negative,con mụ đen sai còn già mồm ...
Negative,"người ta dùng kiến lá , ông lại dùng kiến cứt thì thua ông rồi"
Negative,"mấy thằng con nào sủa câu "" công việc thì chịu đi than cái lol "" thì dume tụi bây sau này ráng làm giàu làm chủ nha con chứ nghèo thì con cái tụi bây phải đi làm thuê làm mướn gặp hoàn cảnh tương tự rồi tụi nó quay lại chửi vô mặt cha mẹ nó là chúng mày thì nhục lắm nha con ."
Negative,về nhà thể hiển nhé chú em
Negative,thành phần nào cũng có :)) ăn hiếp con gái :)) thua cả súc sinh
Negative,"thân hình của con người , nhưng đầu óc là con cặc , nên đéo biết nói gì thành phần này"
Negative,tình yêu con nít cọ đít vào nhau ....
Positive,"yeahh , được mở lại fan cứng rồi =)))"
Positive,nhắn với người yêu còn đéo nhẹ nhàng như vậy =))
Positive,cuối ngày hình ảnh của ông bà là đẹp nhất ... chúc ông bà mãi hạnh phúc sống thật lâu lâu nhé 😘😘😘
Positive,thông minh lắm
Positive,tuổi trẻ tài cao mà :))))))))
Positive,"tuyệt vời , chỉ cần họ thấy vui và hạnh phúc"
Positive,"ngày ngày đều nhìn qua cửa sổ chờ nó đi học ngang qua , nhìn sau lưng thôi cũng đủ vui rồi hhhhhhhhhhhhhhhhhhhhhhh"
Negative,"ôi dume giật nảy mình , tí thì rơi điện thoại"
Negative,xem đi xem lại bao nhiêu lần cũng không chán ... vẫn cảm giác hồi hộp :)
Negative,hôm nay anh xin lỗi em về những việc anh đã làm hôm nay .. anh không thể kiểm soát não anh được nữa rồi 🤫
Negative,ăn cơm mốc có khả năng bị ung thư gan cao . hít
Negative,để nó vậy không thấy tội sao
Negative,hôm nay bạn đi làm . tiền đâu mà mua 😌
Neutral,"lúc đầu còn tưởng quảng cáo rạp chiếu phim , pr về mức độ đầu tư của rạp phim , ai ngờ =))"
Neutral,ông nội này chất đấy
Negative,sếp như nào nữa còn sếp tôi thì như lònnnnnnn
Negative,như con điên :))
Negative,trẻ trâu thời nào cũng có thông cảm đi
Negative,nếu bạn kinh doanh mà tôi đỗ xe trước cửa nhà bạn cả buổi thì đường của ai nhỉ
Negative,đúng là xa thơm gần thối . người tuyệt vời ngay trước mắt mà không thấy
Negative,địt mẹ hoang đường !
Negative,"văn minh quá , đường trong sổ đỏ người ta mà !"
Positive,khúc cuối cười lộn ruột
Positive,😔😔 hành động nhỏ v thôi thì cũng ấm lòng rồi ... nói thôi cũng vuii rồi ... 😝😝
Positive,sau khi có vợ anh per đã có đồ giả gái xinh và tinh tế hơn 😆
Positive,đáng yêu vậy
Positive,nếu ai cũng có ý thức tốt đẹp thì đất nước này còn gì để nói . đâu có ai hoàn toàn hoàn hảo đâu bạn . dù là moi tần lớp
Positive,tôi đã đúng khi đọc bình luận thay vì đọc bài :)
Positive,chuẩn không cần chỉnh
Negative,muốn share về mà sợ bị bạn nè phẫn nộ quá
Negative,tiếc quá đẹp trai mờ không có chim
Negative,giống chó này hình như không có lông ạ ?? chó nhà em lông rụng đầy nhà .. huhu
Negative,tao đang cố un crush nhưng khi xem xong video trên thì ..........( khóc không ra nước mắt )
Negative,chẳng những hư xe mà còn bị phạt nặng nữa
Negative,ngày cuối cùng thực sự buồn
Negative,buồn cho 1 đất nước .
Neutral,ông này tài quá
Negative,đem con bọn mày đến đây tao cho ăn cơm mốc rồi cảnh cáo tao rút kinh nghiệm thôi nha
Negative,1 từ ( nhạt )🙂
Negative,loạn luân cũng được . đcm ạ
Negative,việc nhỏ như vậy mà hai con này hàng sử thiếu văn hóa quá quá
Negative,"dume tao từ giờ sẽ bỏ thích cái page này huhu , nghiệp mà"
Negative,nhảy không lo nhảy còn quay quay
Negative,ý thức quá kém .
Negative,"rớt mũ trước , sau là rớt đầu . con với cái mắc dại thiệc 😂"
Negative,tao ghét nhất mấy mẹ ngoài bắc cứ ỉ lớn tuổi hơn là có quyền chửi người khác là láo toét trong khi mình nói chuyện như l đcm gặp tao tao rút chìa khoá xe của mụ ném ra thật xa cho đi nhặt xem lúc đó gọi con bả kiểu gì . moá lắm lúc không muốn tạo nghiệp mà gặp mấy con mẹ già mất nết này điên thật chớ
Positive,cần tìm gấp bạn trai đáng yêuc như anh này trời đất ơi =))
Positive,em mình là con trai viết đẹp y chang thế này nhé
Positive,"per anh nào nhắn vậy là tao yêuc luôn đéo suy nghĩ , ngọt vãi"
Positive,người gì đâu mà đẹp trai hết sức !
Positive,cầu mong những công ơn sinh thành luôn mạnh khỏe .
Positive,bt mà tao vẫn lạng lách ở đây suốt
Positive,mắt 2 mí dễ thương quá
Positive,"per tải thử cái này cho cún đi chị , hay phết này"
Positive,hoá nhện tỏ tình đấy :))))
Positive,"per làm ở đâu không quan trọng , quan trọng là vẫn buôn chuyện đều 😂😂😂"
Negative,"ngày xưa nhà nuôi mấy con điên này cái giọng thì đã khó nghe thì chớ suốt ngày ngoạc ra , hễ về đến nhà là thấy giọng bọn n đầu tiên . xong cho ăn , rõ ràng là cho n ăn đàng hoàng mà đến n + 1 lần bị n mổ với đuổi bợt mạng . chốt là tao ghét cái bọn nì dã man . ám ảnh cả 1 tuổi thơ :(( cái thứ yêu nghiệt ."
Negative,thề dume c còn hết hồn nói chi đến khách =)))) sáng sớm ra mở cửa với tối đóng cửa thôi độ gan dạ cũng phải tăng lên mấy chân kính =))))
Negative,không muốn huhu
Negative,cứ thấy nó là ăn không còn xác thì lấy gì chúng kịp phá . nhìn thèm ứ chịu được 😔😔😔
Negative,và hơn hết là tụi nó không còn coi mình là con gái nữa
Negative,per hết tiền thật sự :(
Neutral,sao nó trèo lên được hay vậy @@
Neutral,đẹp khó tin quá
Neutral,khu này đẹp vãi chưởng
Negative,bán thì bán đi còn bảo bố mày bất hạnh . đéo thèm mua nữa 😑
Negative,"chẳng bao giờ nhà bếp nó nấu đồ ngon cả , toàn thiu thối hoặc kém chất lượng nó mua về làm mới có lãi . trước làm với nhật nó còn bắt làm cho nó như cho công nhân ăn thì thời gian đầu được , đến khi đổi giám đốc là đéo nuốt nổi nữa"
Negative,"thiệt ra bạn mày đẹp hơn , vì màt chỉ được cái lưng dài lười biếng thui 🙃🙃"
Negative,"mày đấy , đừng làm tao đau đầu thêm"
Negative,"nta nói đừng có nhìn mặt mà bắt hình dong nhg mà thực sự nhìn bả , tôi thấy cứ đanh đá , mưu mô , xảo quyệt kiểu gì ý , cảm thấy đây là con người không có hậu"
Negative,khôn lõi đời à ? chừa này
Negative,"chứ sao nữa , làm gì có chuyện người ta đỗ đúng mà lại gây tắc đường . chỉ có những người mắt hay bị ngứa cho rằng sẽ gây tắc đường thôi ạ"
Negative,phá làng phá xóm
Negative,"nước bẩn quá , toàn rác !"
Positive,per phim nào cũ thì người cũng hay hêt ́ tao anh ơi
Positive,tao thích vẽ . nhưng vẽ xấu từ đó chuyển hẳn sang mê chụp ảnh .
Positive,lấy ống hút mỗi đứa cắm xuống mà hút thôi :))
Positive,uất quá anh ấy cũng phản ứng cãi lại . hì hì đáng yêu quá
Positive,hahahaha tao mắc cười ghê . nhớ cái hôm sinh nhật tao ghê . chắc mấy mẹ ở guru cũng rủa dữ lắm hahaha per
Negative,không may thụt chân xuống thì sẽ như thế nào nhỉ chắc là thốn đến tận rốn
Negative,buôn bỏ nhưng tình cảm ko thuoc về mình nua . bat đầu kiem tiên
Negative,chưa bao giờ được nge câu này 😞
Negative,"nhìn cảnh 2 bố con hôn từ biệt , em bé cũng rướn mặt theo hôn bố mà chảy nước mắt , em bé như thế chắc không biết diễn , đúng là cảnh đẹp quá"
Neutral,đứng trụ điện mới lạ chứ
Negative,ăn bớt của trẻ vậy mà bị khiển trách thì lần sau còn làm tiếp và mạnh hơn nữa đúng lả luật của việt nam không có chức quyền ăn trộm ổ bánh mì phải đi tù còn có chức ăn 150trieu thì bị khiển trách thôi
Negative,"bọn giết người không dao tử hình cái thằng cung cấp thực phẩm bẩn vào trường , những đứa liên quan còn lại cho vào tù hết ."
Negative,cảm xúc đéo gì khi mà họp lớp đéo đi
Negative,dở hơi
Negative,"rốt cục sao chúng nó mò về tận nhà bạn nhỉ , kinh vãi"
Negative,"bạn trai tao cắt tóc xong cái đầu như cái đầu buồi , không lệch vào đâu được 🙂"
Positive,"vừa về xong , phải nói là đông vãi đông chứ không phải đông bình thường =))))"
Positive,dume cười muốn chết người ta ~~
Positive,chúng ta mất 3s để nói yêu nhau vài 30p để phịch nhau phải không nào
Positive,mỉa mai cực mạnh =))
Positive,truyện thật đây này . đang đi bình thường qua đoạn cầu giấy anh csgt thổi lại “ gạt chân chống lên em . anh nhắc nhỉ thôi . đi đi “ 😂 hú hồn
Positive,móng này móc cua thì đỉnh 😹
Negative,nghiệp hơi nặng nha !. làm hết hồn
Negative,sao lại bất công thế
Negative,đéo có người thương để mà làm ấy chứ :(
Negative,"ngày nào cũng thấy tàu trật bánh , khá buồn"
Negative,mình chụp mấy lần liền chả thấy bác sĩ cho mặc lớp áo gì cả 😭😭😭
Negative,"khi bạn làm con b sẽ khóc , nhưng khi bạn đã làm cha mẹ bạn sẽ thấy đau lòng ."
Negative,có một sự tổn thương không hề nhẹ ở đây
Neutral,per tụi này bản lĩnh ghê .
Negative,per dẹp hết . không có bán mua quần què gì nữa hết
Negative,ngu . vào quán uống nước lúc nào thích đi thì gọi bạn mang mũ bảo hiểm tới
Negative,trời đất . 580k không tiếc thì tiếc gì trời . người ta làm ăn đàng hoàng . hứa hươu hứa vượn . là người lớn mà làm trò mất nết vậy trời @@
Negative,"chọn thằng nào không quan trọng , vì đằng nào cũng không có thằng nào nó thích em đâu mà ảo tưởng =))"
Negative,cái thứ gì đâu không 😈
Positive,mang anh này về nhà luôn được không 😻
Positive,uầy . ngọt thế ??????
Positive,nó cưng quá mày
Positive,nhanh lẹ hiệu quả cao 😂😂
Negative,sợ thế
Negative,má chắc gặp tao chạy mất giày
Negative,"sợ nhất mấy đứa ảo tưởng sức mạnh , nhắn tin nhiều chút là auto mình thích nó"
Negative,trông rợn vãi :))
Negative,má . đang định đi chụp :((
Negative,trông mặt buồn chưa kìa per :(
Negative,h chỉ pk nhìn họ bên người khác :((
Negative,ước gì tôi cũng được kiên trì như anh ấy để dạy con gào mất nết nhà tôi 😪
Negative,🙄🙄🙄🙄 tao cũng thích kiểu kể chuyện trước khi đi ngủ . cho đến khi tao ngủ luôn . mà đéo có ai hết . buồn đời
Neutral,sao bắt nhanh thế sáng đọc báo có tin chôm ngân ngàng chiều đọc báo đã bắt được rồi
Neutral,vũ khí sinh học này mạnh thật !
Negative,"đã ra tù nhưng chắc nhớ tù quá , muốn quay lại trại nên mặc quả đồ này :vậy"
Positive,hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem
Positive,bé gái đáng yêu quá ??
Positive,< 3 chuyện lạ có thật :)))
Positive,chuyên cơ tt quá đẹp ! bao giờ má mua được chiêc như vâ ̀ y trơi ̀ !!
Positive,14 / 2 năm ngoái tao mọc sừng . nên 14 / 2 năm nay tao quyết định cưa sừng 😊
Positive,tao cười tao ỉa =)))))) hâhhahhahahahaha
Positive,à thì ra là như v =))))
Positive,cảm ơn mày đã khai phá cho tao thêm một nét văn hoá đẹp :))
Positive,cám ơn mấy chế nhiều nhiều nhé 😗
Positive,nhìn hình chế là tao vui lắm :))
Positive,5 năm nữa tao phải đẻ được 3 đứa 😂😂😂
Positive,"gặp chị này ngoài đời rồi , giọng nhẹ mà hiền lắm nuôn ❤"
Positive,"quỷ cái chứ ma đâu mà ma , haha"
Positive,nhớ thời ở ký túc xá quá đi per
Positive,nhớ không em lời hứa ngày xưa mình bên nhau dưới ánh trăng đã nguyện thề :))
Negative,"per nhà giáo áp lực quá nhỉ , giống làm dâu trăm họ ."
Negative,đó là một câu chuyện buồn 😀
Negative,"per :))) tuy anh hay bắt nạt , giấu đồ và ăn bòn đồ ăn của em nhưng nếu thiếu anh thì công việc sẽ trở nên căng thẳng phết đó 😭"
Negative,chưa được đi pháp mà huhu
Neutral,canh thời gian đăng đúng vãi !
Neutral,bất ngờ thiệt :))))
Negative,nó lại làm tao nhớ tới cái mấy con chó ăn hạt dưa ở quán cf đụ đỉ mẹ ăn thì có cái bịch bên cạnh đó cắn bỏ vào bịch thì chết à d . mày cắn xong cứ phun phun xuống đất đã vậy mỗi lần phun là mỗi chỗ khác nhau làm dọn bắt lòi dái nhìn nó phun chỉ muốn đấm cho nó một cái
Negative,nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì
Negative,"ai bảo mèo đực hay đi khỏi nhà chứ quàng thượng nhà tao toàn ngủ , ngủ cả ngày cả đêm , đang ngủ mắc tè xong dậy đi tè rồi vào ngủ tiếp , ngủ hơn heo :vậy"
Negative,cho khỏi đá ở việt nam . gì mà căng
Negative,trước gầy giả gái xinh . giờ béo lên ông mặc cái váy như tra tấn cái váy .
Negative,"cái thế giới loạn hết rồi , loạn thật rồi , trả tao cái đĩa bay"
Negative,có cái lol chuột nó sợ
Negative,hẳn là thần tài . mê tín vãi
Positive,tiên sư cái thằng ghép nhạc cười rớt mồm quả ghép
Positive,đag bị cuồng mấy video của chế này . ai có ngoài video này tag cho mình xem với nhé 😂😂
Positive,thôi thì đi xem avenger lần 3 để tránh nóng nốt chiều nay không mai mưa rồi hehee
Positive,và vui mừng hơn khi biết tin chị vợ ở nhà vừa sinh hạ em bé được 1 tuần
Positive,đúng là tấm gương xáng để con cháu noi theo =))))))
Positive,"sao mày không như crush của tao , thuỷ triều lên cũng đéo sợ nhé 😆"
Positive,đcm ngôn tình vãiiii
Negative,sợ vãi tè ăn độc 2 quả mọc luôn 2 cái nhọt ở mông đíu hỉu
Negative,per hồi nhỏ chuyên gia đi ngang nhà hàng xóm là bị nguyên bầy ngỗng nó dí nó rượt chạy khóc la um xùm .. giờ còn ám ảnh 😭
Negative,"thiện tai , thế giới này khi nào mới được yên bình"
Negative,có lẽ vì vậy nên moi thứ trở nên thật khó khăn lúc này :(((
Negative,có móng tay dài cũng khổ
Negative,tình chỉ đẹp khi còn dang dở lấy nhau rồi nham nhỉ lắm ai ơi ...
Negative,ước mơ tao 🙂 chỉ có thể sao chép lại và tao lên màu cực xấu !
Neutral,có gì đó sai sai ??
Negative,đéo thấy vui đến lúc nó dừng xe đạp nó vả cho vỡ mõm lại hỏi tại sao 😌
Negative,cắt tóc rồi mặt như con heo
Negative,bảo thẳng luôn dân việt nam nghèo còn bày đặt . không biết quý đồ ăn là gì . nói thì lại tự ái quay ra đôi co .
Negative,"ko ngon thế đâu , không khéo nó lại ỉa cứt toe toét vào mặt í :)))"
Negative,"nhiều người nói con này giả ngu câu thích , nhưng xem lại nhiều lần thấy nó ngu thiệt chứ không phải giả bộ"
Positive,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào
Positive,có người sinh ra đã làm ban giám khảo anh nhé kk
Positive,"từ nhỏ tới lớn đi học toàn ngồi chung bàn với nam , toàn phải đương đầu chiến đấu với vạch phấn chia đôi bàn ghế . 🤣🤣"
Positive,bộ phim việt lần đầu xem thấy hay cảnh quay đẹp !!
Positive,đúng là nhân tài luôn ở khắp mọi nơi kkkk
Positive,hy vọng mọi điều tốt đẹp sẽ tới
Positive,bây chửi kệ bây ! riêng tao thik phá trong trường hợp này 😂
Negative,bốc toàn trúng may mắn lần sau
Negative,bây giờ nhìn vào cứ kiện tụng mà nãn :((
Negative,đúng là vàng trắng .. nhưng mà trắng tay :(((
Negative,vì tao xấu và chúng nó chỉ thích gái đẹp
Neutral,cái này nó giống câu “ em ăn cơm chưa ” vãi
Neutral,đây là hội à mày ? làm tao phải lên gg tra sao lại đông người thế :))
Neutral,ồ ra thế . tớ sẽ lưu ý :)) mong sẽ có cơ hội sờ nó . nhìn như cục bông í uwu
Neutral,"sản phẩm tốt đấy , có tính ứng dụng cao"
Negative,mày ăn cứt hay sao ngu thế hả
Negative,"ủa tại sao không nghỉ việc luôn đi , hay lương tâm không còn chữ đức nữa"
Negative,một cái ngu thật sứng đáng
Negative,đúng phải chia tay gặp loại óc chó thế này cơ mà
Negative,"có chỗ tự đào thải nhưng có chỗ có đào cũng không thải , vì "" cơ chế "" đồng tiền có lỗ xỏ . khó nói lắm"
Negative,"câu chốt .... "" chuyện cổ tích per "".... thôi tao quỳ ..."
Negative,tài xế để não trong háng hay sao mà thích chơi ngu lấy tiếng thế
Positive,"xem đi xem lại không chán , best của best 😭"
Positive,"hahaa , đợi em ngủ chút tí ròii buôn :))"
Positive,để có được cái nắm tay tuổi già là bao giông bão của tuổi trẻ . mấy ai qua được bão giông ?
Positive,ít nhất con nhện nó còn yêu mày 🙂🙂🙂
Positive,có tiến bộ ! kkk
Positive,đúng là khổ trước sướng sau thế mới giàu =)))
Positive,"ba mẹ mình nhớ tất cả ngày tháng năm sinh âm lịch , giờ sinh , tên tuổi ...... của 4 chị em ....."
Positive,lò vi sóng đó hjhj
Positive,những điều đơn giản nhưng thật hạnh phúc 😘
Positive,mai tao cũng đi ship mới được . có bài này áp dụng luôn .
Positive,per mày phải thấy may mắn khi cuộc đời mày được gặp tao :)))
Positive,cũng thơm mà . kì thị quá à .
Positive,"má , mặt đúng ngáo luôn 😂"
Positive,lũ kiến ở nhà mày thích vậy .
Negative,lớp 5 mà viết kiểu này cô đánh gãy tay .
Negative,không muốn yêu ai cả
Negative,mấy lần đi ngang hết hồn
Negative,tao buồn mấy năm nay rồi
Negative,sao bao nhiêu năm kể từ ngày đó em đã không còn nghe lại nữa :((
Negative,per :))) không bù cho nhũng người như cta
Negative,"per cần thêm những trái dâu xinh xắn để ngăn chặn sự u ám này , huhu"
Negative,xem xong video tự thấy mình còn không bằng con chó ...
Negative,tao bị bỏ rơi rồi
Neutral,per đây mí chính là cụ tổ của những chiếc sừng này
Neutral,per ý nghĩa giống phim không ???
Neutral,vâng với 1 pha chống gậy tinh tế anh đã làm cho người xem 1 sự bất ngờ
Negative,xử tử hiệu trưởng . nhà nước phải làm thẳng tay bọn chó
Negative,cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz
Negative,địt mẹ xấu mặt đàn ông quá . đéo hiểu mấy thằng lol này nghĩ nó ngầu chỗ đéo nào nhỉ . bệnh hoạn vãi
Negative,lớp tao thì học nhau 3 năm chụp kỉ yếu nói : đéo có tiền đi chụp . địt mẹ mấy con mặt lồn . quá đen khi học còn mấy con đấy
Negative,"đã gọi là "" mật "" mà nó lại công khai cho mày xem àk"
Negative,không thấy tên phim thì hỏi . ở đấy mà hội người mụ cái đéo gì . đã mất công ghi tên phim thì ghi cho đàng hoàng vào . bất lịch sự vậy !
Negative,giờ còn thể loại dâm ô nam sinh mới ghê :)))
Positive,"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)"
Positive,tao ngự ở trong uống nước cho nhàn thân rồi
Positive,không biết s chứ ngày lúc 17t tao đi phục vụ phòng karaoke ... mình tao 2 phòng chạy qua chạy lại mệt quá vì xỉn ... kkk . thế là tao nghỉ trong ngày đầu vào phục vụ karaoke .🤣🤣🤣
Positive,đôi khi đi tù chỉ để thoả mãi thú vui
Positive,nhìn ghiền 😘
Positive,đáng yêu =))
Negative,anh chân thành nên anh tổn thương :((
Negative,ngoài ra còn một số cái buồn nữa . không giải quyết kịp thời thì ??
Negative,một mình tao ăn hết 1 nồi lẩu từ lúc tối 😭
Neutral,list này không có liệt kê công việc của dân chứng khoán sao ?
Neutral,bộ phim anime đầu tiên mình xem thấy bác hói được buff sức mạnh kinh vkl =)))
Negative,5 triệu nhằm nhò gì so với 1 khoá lễ của bả ? sao không cho hành nghề vĩnh viễn luôn đi . chỉ cấm ở ba vàng thì lại lộng hành ở chỗ khác thôi .
Negative,và thế đéo nào chúng nó toàn gọi mình là thằng 😏😏😏
Negative,không cho giáo viên cái quyền gì thì lấy gì mà dạy nhất là thời buổi lố lăng như bây giờ ... nó quỳ lúc nhỏ khi nó sai còn sửa được đợi lớn lên thì bố mẹ quỳ nhìn nó vào nhà đá
Negative,các bạn đéo biết được đâu vì các bạn đbh gặp thì lsao các bạn biết được mấy con mụ già đi mất dạy như thế nào . đm cậy mình già là muốn đi thế đéo nào cũng được ý . đi sai xong chửi người ta mới vãi chứ dume có ngày đâm vào người ta chết có ngày ở đấy mà già mồm . cứ kêu người ta lớn tuổi hơn phải thế này tno nhưng có lớn mà đéo có học thì cũng đéo là cái gì
Positive,"hành động đẹp chứ sao , đằng nào cũng tiệt kiệm hơn :)) 0"
Positive,per theo vợ nghĩ nếu là chồng thì chắc con đó dù là giả cũng sẽ lên nồi
Positive,không biết crush có thích uống nước mắm không để còn tặng nàng chai nam ngư 900ml :))
Negative,đàn bà ở nhà thế kia không sợ ngoại tình à ? tao đang lo vợ tao đây này
Negative,"hôm trước tao đi chơi về đường vắng nên chạy nhanh , vừa qua cua anh cảnh sát chạy ra chặn làm tao sợ chetme vì giấy tờ không có bằng lái thì chưa thi lại còn thiếu abcxyz"
Negative,những người thả phẫn nộ xứng đáng là thiên thần . dăm ba cái yêu đương vớ vẩn . ahuhuhu
Negative,"ai ở gần đó xin hãy giúp chú , thương chú"
Negative,"tao thì chưa cắt thì đã đéo có sức hút rồi cắt , bùn vãi"
Negative,tao toàn bạn gái mà sao vẫn tưng tửng nhể ???
Negative,nản kèo vãi
Negative,đau còn hơn tỏ tình bị từ chối per
Negative,tao đa khóc khi xem phim này 😭😭😭😭😭
