emotion,sentence
Disgust,nhân văn ? thế nhân văn ở đâu cho những em học thật thi thật ?
Disgust,việc làm và ý thức của những cổ động viên kém quá . mất hình ảnh bóng đá per còn mất 1 tỷ tiền phạt .
Disgust,một lũ óc không bằng chó .
Disgust,đọc bình luận mới thấy nhiều người hãm thật sự :)))
Enjoyment,hay lắm :)))
Enjoyment,thông minh hơi muộn nhưng vẫn kịp thông minh !
Enjoyment,cưng quá trời luôn
Enjoyment,dăm ba con nhện nghĩ tao sợ (((=
Enjoyment,bô ̣ phim khiến bọn sinh viên có lí do để lười học theo li ́ thuyết là đây 😆
Sadness,"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng"
Sadness,biết là đau lòng nhưng sao bản thân vẫn muốn biết nó
Sadness,có những ngày làm tới đâu là sai tới đó :)) muốn tát vào mặt hết sức
Sadness,chủ thớt sấp mặt rồi
Sadness,và rồi cô ấy sẽ mãi mãi không có người yêu =((
Sadness,ước mơ nhỏ nhoi của tao là được làm chị mà không thể nào làm được huhu
Surprise,nhằm ngày sinh nhật luôn trời ..😂
Anger,"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc"
Anger,cay vãi lồn
Anger,cho tao hỏi mấy con súc vật tụi bây cười cái gì dzậy ? chắc tụi mày phải bị gậy vụt vào mõm thì mới hết dám ngẩng mặt nhìn đời phải không ?
Disgust,con mụ đen sai còn già mồm ...
Disgust,"người ta dùng kiến lá , ông lại dùng kiến cứt thì thua ông rồi"
Disgust,"mấy thằng con nào sủa câu "" công việc thì chịu đi than cái lol "" thì dume tụi bây sau này ráng làm giàu làm chủ nha con chứ nghèo thì con cái tụi bây phải đi làm thuê làm mướn gặp hoàn cảnh tương tự rồi tụi nó quay lại chửi vô mặt cha mẹ nó là chúng mày thì nhục lắm nha con ."
Disgust,về nhà thể hiển nhé chú em
Disgust,thành phần nào cũng có :)) ăn hiếp con gái :)) thua cả súc sinh
Disgust,"thân hình của con người , nhưng đầu óc là con cặc , nên đéo biết nói gì thành phần này"
Disgust,tình yêu con nít cọ đít vào nhau ....
Enjoyment,"yeahh , được mở lại fan cứng rồi =)))"
Enjoyment,nhắn với người yêu còn đéo nhẹ nhàng như vậy =))
Enjoyment,cuối ngày hình ảnh của ông bà là đẹp nhất ... chúc ông bà mãi hạnh phúc sống thật lâu lâu nhé 😘😘😘
Enjoyment,thông minh lắm
Enjoyment,tuổi trẻ tài cao mà :))))))))
Enjoyment,"tuyệt vời , chỉ cần họ thấy vui và hạnh phúc"
Enjoyment,"ngày ngày đều nhìn qua cửa sổ chờ nó đi học ngang qua , nhìn sau lưng thôi cũng đủ vui rồi hhhhhhhhhhhhhhhhhhhhhhh"
Fear,"ôi dume giật nảy mình , tí thì rơi điện thoại"
Sadness,xem đi xem lại bao nhiêu lần cũng không chán ... vẫn cảm giác hồi hộp :)
Sadness,hôm nay anh xin lỗi em về những việc anh đã làm hôm nay .. anh không thể kiểm soát não anh được nữa rồi 🤫
Sadness,ăn cơm mốc có khả năng bị ung thư gan cao . hít
Sadness,để nó vậy không thấy tội sao
Sadness,hôm nay bạn đi làm . tiền đâu mà mua 😌
Surprise,"lúc đầu còn tưởng quảng cáo rạp chiếu phim , pr về mức độ đầu tư của rạp phim , ai ngờ =))"
Surprise,ông nội này chất đấy
Disgust,sếp như nào nữa còn sếp tôi thì như lònnnnnnn
Disgust,như con điên :))
Disgust,trẻ trâu thời nào cũng có thông cảm đi
Disgust,nếu bạn kinh doanh mà tôi đỗ xe trước cửa nhà bạn cả buổi thì đường của ai nhỉ
Disgust,đúng là xa thơm gần thối . người tuyệt vời ngay trước mắt mà không thấy
Disgust,địt mẹ hoang đường !
Disgust,"văn minh quá , đường trong sổ đỏ người ta mà !"
Enjoyment,khúc cuối cười lộn ruột
Enjoyment,😔😔 hành động nhỏ v thôi thì cũng ấm lòng rồi ... nói thôi cũng vuii rồi ... 😝😝
Enjoyment,sau khi có vợ anh per đã có đồ giả gái xinh và tinh tế hơn 😆
Enjoyment,đáng yêu vậy
Enjoyment,nếu ai cũng có ý thức tốt đẹp thì đất nước này còn gì để nói . đâu có ai hoàn toàn hoàn hảo đâu bạn . dù là moi tần lớp
Enjoyment,tôi đã đúng khi đọc bình luận thay vì đọc bài :)
Enjoyment,chuẩn không cần chỉnh
Fear,muốn share về mà sợ bị bạn nè phẫn nộ quá
Sadness,tiếc quá đẹp trai mờ không có chim
Sadness,giống chó này hình như không có lông ạ ?? chó nhà em lông rụng đầy nhà .. huhu
Sadness,tao đang cố un crush nhưng khi xem xong video trên thì ..........( khóc không ra nước mắt )
Sadness,chẳng những hư xe mà còn bị phạt nặng nữa
Sadness,ngày cuối cùng thực sự buồn
Sadness,buồn cho 1 đất nước .
Surprise,ông này tài quá
Anger,đem con bọn mày đến đây tao cho ăn cơm mốc rồi cảnh cáo tao rút kinh nghiệm thôi nha
Disgust,1 từ ( nhạt )🙂
Disgust,loạn luân cũng được . đcm ạ
Disgust,việc nhỏ như vậy mà hai con này hàng sử thiếu văn hóa quá quá
Disgust,"dume tao từ giờ sẽ bỏ thích cái page này huhu , nghiệp mà"
Disgust,nhảy không lo nhảy còn quay quay
Disgust,ý thức quá kém .
Disgust,"rớt mũ trước , sau là rớt đầu . con với cái mắc dại thiệc 😂"
Disgust,tao ghét nhất mấy mẹ ngoài bắc cứ ỉ lớn tuổi hơn là có quyền chửi người khác là láo toét trong khi mình nói chuyện như l đcm gặp tao tao rút chìa khoá xe của mụ ném ra thật xa cho đi nhặt xem lúc đó gọi con bả kiểu gì . moá lắm lúc không muốn tạo nghiệp mà gặp mấy con mẹ già mất nết này điên thật chớ
Enjoyment,cần tìm gấp bạn trai đáng yêuc như anh này trời đất ơi =))
Enjoyment,em mình là con trai viết đẹp y chang thế này nhé
Enjoyment,"per anh nào nhắn vậy là tao yêuc luôn đéo suy nghĩ , ngọt vãi"
Enjoyment,người gì đâu mà đẹp trai hết sức !
Enjoyment,cầu mong những công ơn sinh thành luôn mạnh khỏe .
Enjoyment,bt mà tao vẫn lạng lách ở đây suốt
Enjoyment,mắt 2 mí dễ thương quá
Enjoyment,"per tải thử cái này cho cún đi chị , hay phết này"
Enjoyment,hoá nhện tỏ tình đấy :))))
Enjoyment,"per làm ở đâu không quan trọng , quan trọng là vẫn buôn chuyện đều 😂😂😂"
Fear,"ngày xưa nhà nuôi mấy con điên này cái giọng thì đã khó nghe thì chớ suốt ngày ngoạc ra , hễ về đến nhà là thấy giọng bọn n đầu tiên . xong cho ăn , rõ ràng là cho n ăn đàng hoàng mà đến n + 1 lần bị n mổ với đuổi bợt mạng . chốt là tao ghét cái bọn nì dã man . ám ảnh cả 1 tuổi thơ :(( cái thứ yêu nghiệt ."
Fear,thề dume c còn hết hồn nói chi đến khách =)))) sáng sớm ra mở cửa với tối đóng cửa thôi độ gan dạ cũng phải tăng lên mấy chân kính =))))
Sadness,không muốn huhu
Sadness,cứ thấy nó là ăn không còn xác thì lấy gì chúng kịp phá . nhìn thèm ứ chịu được 😔😔😔
Sadness,và hơn hết là tụi nó không còn coi mình là con gái nữa
Sadness,per hết tiền thật sự :(
Surprise,sao nó trèo lên được hay vậy @@
Surprise,đẹp khó tin quá
Surprise,khu này đẹp vãi chưởng
Anger,bán thì bán đi còn bảo bố mày bất hạnh . đéo thèm mua nữa 😑
Disgust,"chẳng bao giờ nhà bếp nó nấu đồ ngon cả , toàn thiu thối hoặc kém chất lượng nó mua về làm mới có lãi . trước làm với nhật nó còn bắt làm cho nó như cho công nhân ăn thì thời gian đầu được , đến khi đổi giám đốc là đéo nuốt nổi nữa"
Disgust,"thiệt ra bạn mày đẹp hơn , vì màt chỉ được cái lưng dài lười biếng thui 🙃🙃"
Disgust,"mày đấy , đừng làm tao đau đầu thêm"
Disgust,"nta nói đừng có nhìn mặt mà bắt hình dong nhg mà thực sự nhìn bả , tôi thấy cứ đanh đá , mưu mô , xảo quyệt kiểu gì ý , cảm thấy đây là con người không có hậu"
Disgust,khôn lõi đời à ? chừa này
Disgust,"chứ sao nữa , làm gì có chuyện người ta đỗ đúng mà lại gây tắc đường . chỉ có những người mắt hay bị ngứa cho rằng sẽ gây tắc đường thôi ạ"
Disgust,phá làng phá xóm
Disgust,"nước bẩn quá , toàn rác !"
Enjoyment,per phim nào cũ thì người cũng hay hêt ́ tao anh ơi
Enjoyment,tao thích vẽ . nhưng vẽ xấu từ đó chuyển hẳn sang mê chụp ảnh .
Enjoyment,lấy ống hút mỗi đứa cắm xuống mà hút thôi :))
Enjoyment,uất quá anh ấy cũng phản ứng cãi lại . hì hì đáng yêu quá
Enjoyment,hahahaha tao mắc cười ghê . nhớ cái hôm sinh nhật tao ghê . chắc mấy mẹ ở guru cũng rủa dữ lắm hahaha per
Fear,không may thụt chân xuống thì sẽ như thế nào nhỉ chắc là thốn đến tận rốn
Sadness,buôn bỏ nhưng tình cảm ko thuoc về mình nua . bat đầu kiem tiên
Sadness,chưa bao giờ được nge câu này 😞
Sadness,"nhìn cảnh 2 bố con hôn từ biệt , em bé cũng rướn mặt theo hôn bố mà chảy nước mắt , em bé như thế chắc không biết diễn , đúng là cảnh đẹp quá"
Surprise,đứng trụ điện mới lạ chứ
Anger,ăn bớt của trẻ vậy mà bị khiển trách thì lần sau còn làm tiếp và mạnh hơn nữa đúng lả luật của việt nam không có chức quyền ăn trộm ổ bánh mì phải đi tù còn có chức ăn 150trieu thì bị khiển trách thôi
Anger,"bọn giết người không dao tử hình cái thằng cung cấp thực phẩm bẩn vào trường , những đứa liên quan còn lại cho vào tù hết ."
Disgust,cảm xúc đéo gì khi mà họp lớp đéo đi
Disgust,dở hơi
Disgust,"rốt cục sao chúng nó mò về tận nhà bạn nhỉ , kinh vãi"
Disgust,"bạn trai tao cắt tóc xong cái đầu như cái đầu buồi , không lệch vào đâu được 🙂"
Enjoyment,"vừa về xong , phải nói là đông vãi đông chứ không phải đông bình thường =))))"
Enjoyment,dume cười muốn chết người ta ~~
Enjoyment,chúng ta mất 3s để nói yêu nhau vài 30p để phịch nhau phải không nào
Enjoyment,mỉa mai cực mạnh =))
Enjoyment,truyện thật đây này . đang đi bình thường qua đoạn cầu giấy anh csgt thổi lại “ gạt chân chống lên em . anh nhắc nhỉ thôi . đi đi “ 😂 hú hồn
Enjoyment,móng này móc cua thì đỉnh 😹
Fear,nghiệp hơi nặng nha !. làm hết hồn
Sadness,sao lại bất công thế
Sadness,đéo có người thương để mà làm ấy chứ :(
Sadness,"ngày nào cũng thấy tàu trật bánh , khá buồn"
Sadness,mình chụp mấy lần liền chả thấy bác sĩ cho mặc lớp áo gì cả 😭😭😭
Sadness,"khi bạn làm con b sẽ khóc , nhưng khi bạn đã làm cha mẹ bạn sẽ thấy đau lòng ."
Sadness,có một sự tổn thương không hề nhẹ ở đây
Surprise,per tụi này bản lĩnh ghê .
Anger,per dẹp hết . không có bán mua quần què gì nữa hết
Disgust,ngu . vào quán uống nước lúc nào thích đi thì gọi bạn mang mũ bảo hiểm tới
Disgust,trời đất . 580k không tiếc thì tiếc gì trời . người ta làm ăn đàng hoàng . hứa hươu hứa vượn . là người lớn mà làm trò mất nết vậy trời @@
Disgust,"chọn thằng nào không quan trọng , vì đằng nào cũng không có thằng nào nó thích em đâu mà ảo tưởng =))"
Disgust,cái thứ gì đâu không 😈
Enjoyment,mang anh này về nhà luôn được không 😻
Enjoyment,uầy . ngọt thế ??????
Enjoyment,nó cưng quá mày
Enjoyment,nhanh lẹ hiệu quả cao 😂😂
Fear,sợ thế
Fear,má chắc gặp tao chạy mất giày
Fear,"sợ nhất mấy đứa ảo tưởng sức mạnh , nhắn tin nhiều chút là auto mình thích nó"
Fear,trông rợn vãi :))
Fear,má . đang định đi chụp :((
Sadness,trông mặt buồn chưa kìa per :(
Sadness,h chỉ pk nhìn họ bên người khác :((
Sadness,ước gì tôi cũng được kiên trì như anh ấy để dạy con gào mất nết nhà tôi 😪
Sadness,🙄🙄🙄🙄 tao cũng thích kiểu kể chuyện trước khi đi ngủ . cho đến khi tao ngủ luôn . mà đéo có ai hết . buồn đời
Surprise,sao bắt nhanh thế sáng đọc báo có tin chôm ngân ngàng chiều đọc báo đã bắt được rồi
Surprise,vũ khí sinh học này mạnh thật !
Disgust,"đã ra tù nhưng chắc nhớ tù quá , muốn quay lại trại nên mặc quả đồ này :vậy"
Enjoyment,hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem
Enjoyment,bé gái đáng yêu quá ??
Enjoyment,< 3 chuyện lạ có thật :)))
Enjoyment,chuyên cơ tt quá đẹp ! bao giờ má mua được chiêc như vâ ̀ y trơi ̀ !!
Enjoyment,14 / 2 năm ngoái tao mọc sừng . nên 14 / 2 năm nay tao quyết định cưa sừng 😊
Enjoyment,tao cười tao ỉa =)))))) hâhhahhahahahaha
Enjoyment,à thì ra là như v =))))
Enjoyment,cảm ơn mày đã khai phá cho tao thêm một nét văn hoá đẹp :))
Enjoyment,cám ơn mấy chế nhiều nhiều nhé 😗
Enjoyment,nhìn hình chế là tao vui lắm :))
Enjoyment,5 năm nữa tao phải đẻ được 3 đứa 😂😂😂
Enjoyment,"gặp chị này ngoài đời rồi , giọng nhẹ mà hiền lắm nuôn ❤"
Enjoyment,"quỷ cái chứ ma đâu mà ma , haha"
Enjoyment,nhớ thời ở ký túc xá quá đi per
Enjoyment,nhớ không em lời hứa ngày xưa mình bên nhau dưới ánh trăng đã nguyện thề :))
Fear,"per nhà giáo áp lực quá nhỉ , giống làm dâu trăm họ ."
Sadness,đó là một câu chuyện buồn 😀
Sadness,"per :))) tuy anh hay bắt nạt , giấu đồ và ăn bòn đồ ăn của em nhưng nếu thiếu anh thì công việc sẽ trở nên căng thẳng phết đó 😭"
Sadness,chưa được đi pháp mà huhu
Surprise,canh thời gian đăng đúng vãi !
Surprise,bất ngờ thiệt :))))
Anger,nó lại làm tao nhớ tới cái mấy con chó ăn hạt dưa ở quán cf đụ đỉ mẹ ăn thì có cái bịch bên cạnh đó cắn bỏ vào bịch thì chết à d . mày cắn xong cứ phun phun xuống đất đã vậy mỗi lần phun là mỗi chỗ khác nhau làm dọn bắt lòi dái nhìn nó phun chỉ muốn đấm cho nó một cái
Disgust,nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì
Disgust,"ai bảo mèo đực hay đi khỏi nhà chứ quàng thượng nhà tao toàn ngủ , ngủ cả ngày cả đêm , đang ngủ mắc tè xong dậy đi tè rồi vào ngủ tiếp , ngủ hơn heo :vậy"
Disgust,cho khỏi đá ở việt nam . gì mà căng
Disgust,trước gầy giả gái xinh . giờ béo lên ông mặc cái váy như tra tấn cái váy .
Disgust,"cái thế giới loạn hết rồi , loạn thật rồi , trả tao cái đĩa bay"
Disgust,có cái lol chuột nó sợ
Disgust,hẳn là thần tài . mê tín vãi
Enjoyment,tiên sư cái thằng ghép nhạc cười rớt mồm quả ghép
Enjoyment,đag bị cuồng mấy video của chế này . ai có ngoài video này tag cho mình xem với nhé 😂😂
Enjoyment,thôi thì đi xem avenger lần 3 để tránh nóng nốt chiều nay không mai mưa rồi hehee
Enjoyment,và vui mừng hơn khi biết tin chị vợ ở nhà vừa sinh hạ em bé được 1 tuần
Enjoyment,đúng là tấm gương xáng để con cháu noi theo =))))))
Enjoyment,"sao mày không như crush của tao , thuỷ triều lên cũng đéo sợ nhé 😆"
Enjoyment,đcm ngôn tình vãiiii
Fear,sợ vãi tè ăn độc 2 quả mọc luôn 2 cái nhọt ở mông đíu hỉu
Fear,per hồi nhỏ chuyên gia đi ngang nhà hàng xóm là bị nguyên bầy ngỗng nó dí nó rượt chạy khóc la um xùm .. giờ còn ám ảnh 😭
Fear,"thiện tai , thế giới này khi nào mới được yên bình"
Sadness,có lẽ vì vậy nên moi thứ trở nên thật khó khăn lúc này :(((
Sadness,có móng tay dài cũng khổ
Sadness,tình chỉ đẹp khi còn dang dở lấy nhau rồi nham nhỉ lắm ai ơi ...
Sadness,ước mơ tao 🙂 chỉ có thể sao chép lại và tao lên màu cực xấu !
Surprise,có gì đó sai sai ??
Anger,đéo thấy vui đến lúc nó dừng xe đạp nó vả cho vỡ mõm lại hỏi tại sao 😌
Disgust,cắt tóc rồi mặt như con heo
Disgust,bảo thẳng luôn dân việt nam nghèo còn bày đặt . không biết quý đồ ăn là gì . nói thì lại tự ái quay ra đôi co .
Disgust,"ko ngon thế đâu , không khéo nó lại ỉa cứt toe toét vào mặt í :)))"
Disgust,"nhiều người nói con này giả ngu câu thích , nhưng xem lại nhiều lần thấy nó ngu thiệt chứ không phải giả bộ"
Enjoyment,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào
Enjoyment,có người sinh ra đã làm ban giám khảo anh nhé kk
Enjoyment,"từ nhỏ tới lớn đi học toàn ngồi chung bàn với nam , toàn phải đương đầu chiến đấu với vạch phấn chia đôi bàn ghế . 🤣🤣"
Enjoyment,bộ phim việt lần đầu xem thấy hay cảnh quay đẹp !!
Enjoyment,đúng là nhân tài luôn ở khắp mọi nơi kkkk
Enjoyment,hy vọng mọi điều tốt đẹp sẽ tới
Enjoyment,bây chửi kệ bây ! riêng tao thik phá trong trường hợp này 😂
Sadness,bốc toàn trúng may mắn lần sau
Sadness,bây giờ nhìn vào cứ kiện tụng mà nãn :((
Sadness,đúng là vàng trắng .. nhưng mà trắng tay :(((
Sadness,vì tao xấu và chúng nó chỉ thích gái đẹp
Surprise,cái này nó giống câu “ em ăn cơm chưa ” vãi
Surprise,đây là hội à mày ? làm tao phải lên gg tra sao lại đông người thế :))
Surprise,ồ ra thế . tớ sẽ lưu ý :)) mong sẽ có cơ hội sờ nó . nhìn như cục bông í uwu
Surprise,"sản phẩm tốt đấy , có tính ứng dụng cao"
Anger,mày ăn cứt hay sao ngu thế hả
Anger,"ủa tại sao không nghỉ việc luôn đi , hay lương tâm không còn chữ đức nữa"
Disgust,một cái ngu thật sứng đáng
Disgust,đúng phải chia tay gặp loại óc chó thế này cơ mà
Disgust,"có chỗ tự đào thải nhưng có chỗ có đào cũng không thải , vì "" cơ chế "" đồng tiền có lỗ xỏ . khó nói lắm"
Disgust,"câu chốt .... "" chuyện cổ tích per "".... thôi tao quỳ ..."
Disgust,tài xế để não trong háng hay sao mà thích chơi ngu lấy tiếng thế
Enjoyment,"xem đi xem lại không chán , best của best 😭"
Enjoyment,"hahaa , đợi em ngủ chút tí ròii buôn :))"
Enjoyment,để có được cái nắm tay tuổi già là bao giông bão của tuổi trẻ . mấy ai qua được bão giông ?
Enjoyment,ít nhất con nhện nó còn yêu mày 🙂🙂🙂
Enjoyment,có tiến bộ ! kkk
Enjoyment,đúng là khổ trước sướng sau thế mới giàu =)))
Enjoyment,"ba mẹ mình nhớ tất cả ngày tháng năm sinh âm lịch , giờ sinh , tên tuổi ...... của 4 chị em ....."
Enjoyment,lò vi sóng đó hjhj
Enjoyment,những điều đơn giản nhưng thật hạnh phúc 😘
Enjoyment,mai tao cũng đi ship mới được . có bài này áp dụng luôn .
Enjoyment,per mày phải thấy may mắn khi cuộc đời mày được gặp tao :)))
Enjoyment,cũng thơm mà . kì thị quá à .
Enjoyment,"má , mặt đúng ngáo luôn 😂"
Enjoyment,lũ kiến ở nhà mày thích vậy .
Fear,lớp 5 mà viết kiểu này cô đánh gãy tay .
Fear,không muốn yêu ai cả
Fear,mấy lần đi ngang hết hồn
Sadness,tao buồn mấy năm nay rồi
Sadness,sao bao nhiêu năm kể từ ngày đó em đã không còn nghe lại nữa :((
Sadness,per :))) không bù cho nhũng người như cta
Sadness,"per cần thêm những trái dâu xinh xắn để ngăn chặn sự u ám này , huhu"
Sadness,xem xong video tự thấy mình còn không bằng con chó ...
Sadness,tao bị bỏ rơi rồi
Surprise,per đây mí chính là cụ tổ của những chiếc sừng này
Surprise,per ý nghĩa giống phim không ???
Surprise,vâng với 1 pha chống gậy tinh tế anh đã làm cho người xem 1 sự bất ngờ
Anger,xử tử hiệu trưởng . nhà nước phải làm thẳng tay bọn chó
Disgust,cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz
Disgust,địt mẹ xấu mặt đàn ông quá . đéo hiểu mấy thằng lol này nghĩ nó ngầu chỗ đéo nào nhỉ . bệnh hoạn vãi
Disgust,lớp tao thì học nhau 3 năm chụp kỉ yếu nói : đéo có tiền đi chụp . địt mẹ mấy con mặt lồn . quá đen khi học còn mấy con đấy
Disgust,"đã gọi là "" mật "" mà nó lại công khai cho mày xem àk"
Disgust,không thấy tên phim thì hỏi . ở đấy mà hội người mụ cái đéo gì . đã mất công ghi tên phim thì ghi cho đàng hoàng vào . bất lịch sự vậy !
Disgust,giờ còn thể loại dâm ô nam sinh mới ghê :)))
Enjoyment,"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)"
Enjoyment,tao ngự ở trong uống nước cho nhàn thân rồi
Enjoyment,không biết s chứ ngày lúc 17t tao đi phục vụ phòng karaoke ... mình tao 2 phòng chạy qua chạy lại mệt quá vì xỉn ... kkk . thế là tao nghỉ trong ngày đầu vào phục vụ karaoke .🤣🤣🤣
Enjoyment,đôi khi đi tù chỉ để thoả mãi thú vui
Enjoyment,nhìn ghiền 😘
Enjoyment,đáng yêu =))
Sadness,anh chân thành nên anh tổn thương :((
Sadness,ngoài ra còn một số cái buồn nữa . không giải quyết kịp thời thì ??
Sadness,một mình tao ăn hết 1 nồi lẩu từ lúc tối 😭
Surprise,list này không có liệt kê công việc của dân chứng khoán sao ?
Surprise,bộ phim anime đầu tiên mình xem thấy bác hói được buff sức mạnh kinh vkl =)))
Anger,5 triệu nhằm nhò gì so với 1 khoá lễ của bả ? sao không cho hành nghề vĩnh viễn luôn đi . chỉ cấm ở ba vàng thì lại lộng hành ở chỗ khác thôi .
Anger,và thế đéo nào chúng nó toàn gọi mình là thằng 😏😏😏
Anger,không cho giáo viên cái quyền gì thì lấy gì mà dạy nhất là thời buổi lố lăng như bây giờ ... nó quỳ lúc nhỏ khi nó sai còn sửa được đợi lớn lên thì bố mẹ quỳ nhìn nó vào nhà đá
Disgust,các bạn đéo biết được đâu vì các bạn đbh gặp thì lsao các bạn biết được mấy con mụ già đi mất dạy như thế nào . đm cậy mình già là muốn đi thế đéo nào cũng được ý . đi sai xong chửi người ta mới vãi chứ dume có ngày đâm vào người ta chết có ngày ở đấy mà già mồm . cứ kêu người ta lớn tuổi hơn phải thế này tno nhưng có lớn mà đéo có học thì cũng đéo là cái gì
